LDCT_PSNR,Enhanced_PSNR,Region_Adaptive_PSNR,LDCT_SSIM,Enhanced_SSIM,Region_Adaptive_SSIM
27.175198,24.975014,25.229483,0.9708756320634793,0.9715253246678689,0.9729174703059178
27.166998,24.78061,25.045225,0.9723065393250261,0.9721026522806092,0.9735527526089118
27.279684,24.582863,24.759361,0.9777243226807558,0.9769441240773362,0.9777086016315544
27.222446,24.715992,24.915884,0.973049570532074,0.9728329765072008,0.9734902511367237
27.259027,24.858055,25.11133,0.9730293792122398,0.9729144312040354,0.9737238629815026
27.29617,24.811724,25.068047,0.9723776040428836,0.9724668324009164,0.9741407028998004
27.38778,25.019037,25.307968,0.9767476222965347,0.9759161040504883,0.9773553513294799
27.434204,25.184927,25.557928,0.9711912004640421,0.9720094471318825,0.9743327074101553
27.306015,25.093616,25.39797,0.9748367215440458,0.9755467481857173,0.9774850994231777
27.288567,24.962664,25.25015,0.9754438475645607,0.9767946373750969,0.9786075982990158
27.435846,25.102251,25.406343,0.9775316807499452,0.9790844629419181,0.9808519446592372
27.328003,24.840786,25.041094,0.9775873165511942,0.9777599470435415,0.9789459155003691
27.346226,24.896286,25.170208,0.9772260474991589,0.9766105995484617,0.9773980103654639
27.349443,25.1321,25.406734,0.9784869409924863,0.9785004655234556,0.9792717023401527
27.331104,24.983519,25.290997,0.9775579469799195,0.978026334792641,0.979130903250248
27.26124,24.727436,24.96537,0.980927234309027,0.9804162152832214,0.9814512457569715
27.428802,25.077305,25.299423,0.9827686717915934,0.9834496568006035,0.9842672075460926
27.519981,25.518776,25.76305,0.9831714228247928,0.9838996105618674,0.9849760786570603
27.496868,25.67064,26.0232,0.9839629788656445,0.9854902309235364,0.9869122526517223
